id;name;cityId
278;Banda Sakti;21
279;Blang Mangat;21
280;Muara Satu;21
281;Langsa Timur;22
282;Langsa Barat;22
283;Langsa Kota;22
284;Langsa Lama;22
285;Langsa Baro;22
286;Simpang Kiri;23
287;Penanggalan;23
288;Rundeng;23
289;Sultan Daulat;23
290;Longkib;23
291;Barus;24
292;Sorkam;24
293;Pandan;24
294;Pinangsori;24
295;Manduamas;24
296;Kolang;24
297;Tapian Nauli;24
298;Sibabangun;24
299;Sosorgadong;24
300;Sorkam Barat;24
301;Sirandorung;24
302;Andam Dewi;24
303;Sitahuis;24
304;Tukka;24
305;Badiri;24
306;Pasaribu Tobing;24
307;Barus Utara;24
308;Suka Bangun;24
309;Lumut;24
310;Sarudik;24
311;Tarutung;25
312;Siatas Barita;25
313;Adian Koting;25
314;Sipoholon;25
315;Pahae Julu;25
316;Pahae Jae;25
317;Simangumban;25
318;Purba Tua;25
319;Siborong-Borong;25
320;Pagaran;25
321;Parmonangan;25
322;Sipahutar;25
323;Pangaribuan;25
324;Garoga;25
325;Muara;25
326;Angkola Barat;26
327;Batang Toru;26
328;Angkola Timur;26
329;Sipirok;26
330;Saipar Dolok Hole;26
331;Angkola Selatan;26
332;Batang Angkola;26
333;Arse;26
334;Marancar;26
335;Sayur Matinggi;26
336;Aek Bilah;26
337;Muara Batang Toru;26
338;Tano Tombangan Angkola;26
339;Angkola Sangkunur;26
340;Angkola Muara Tais;26
341;Hiliduho;27
342;Gido;27
343;Idanogawo;27
344;Bawolato;27
345;Hiliserangkai;27
346;Botomuzoi;27
347;Ulugawo;27
348;Ma'u;27
349;Somolo-molo;27
350;Sogae'adu;27
351;Bahorok;28
352;Salapian;28
353;Kuala;28
354;Sei Bingai;28
355;Binjai;28
356;Selesai;28
357;Stabat;28
358;Wampu;28
359;Secanggang;28
360;Hinai;28
361;Tanjung Pura;28
362;Padang Tualang;28
363;Gebang;28
364;Babalan;28
365;Pangkalan Susu;28
366;Besitang;28
367;Sei Lepan;28
368;Berandan Barat;28
369;Batang Serangan;28
370;Sawit Seberang;28
371;Sirapit;28
372;Kutambaru;28
373;Pematang Jaya;28
374;Kabanjahe;29
375;Berastagi;29
376;Barusjahe;29
377;Tigapanah;29
378;Merek;29
379;Munte;29
380;Juhar;29
381;Tigabinanga;29
382;Laubaleng;29
383;Mardingding;29
384;Payung;29
385;Simpang Empat;29
386;Kutabuluh;29
387;Dolat Rayat;29
388;Merdeka;29
389;Naman Teran;29
390;Tiganderket;29
391;Gunung Meriah;30
392;Tanjung Morawa;30
393;Sibolangit;30
394;Kutalimbaru;30
395;Pancur Batu;30
396;Namo Rambe;30
397;Biru-Biru;30
398;STM Hilir;30
